cep,lat,lon,uf,distancia_km
Sub-bloco 001,-23.591941991291293,-46.649761691878986,SP,4.89
Sub-bloco 002,-23.591941991291293,-46.64566686890924,SP,4.76
Sub-bloco 003,-23.591941991291293,-46.6415720459395,SP,4.67
Sub-bloco 004,-23.591941991291293,-46.63747722296975,SP,4.61
Sub-bloco 005,-23.591941991291293,-46.6333824,SP,4.59
Sub-bloco 006,-23.591941991291293,-46.629287577030254,SP,4.61
Sub-bloco 007,-23.591941991291293,-46.62519275406051,SP,4.67
Sub-bloco 008,-23.591941991291293,-46.621097931090766,SP,4.76
Sub-bloco 009,-23.591941991291293,-46.61700310812102,SP,4.89
Sub-bloco 010,-23.588188237537537,-46.657951337818474,SP,4.87
Sub-bloco 011,-23.588188237537537,-46.653856514848734,SP,4.67
Sub-bloco 012,-23.588188237537537,-46.649761691878986,SP,4.5
Sub-bloco 013,-23.588188237537537,-46.64566686890924,SP,4.36
Sub-bloco 014,-23.588188237537537,-46.6415720459395,SP,4.26
Sub-bloco 015,-23.588188237537537,-46.63747722296975,SP,4.19
Sub-bloco 016,-23.588188237537537,-46.6333824,SP,4.17
Sub-bloco 017,-23.588188237537537,-46.629287577030254,SP,4.19
Sub-bloco 018,-23.588188237537537,-46.62519275406051,SP,4.26
Sub-bloco 019,-23.588188237537537,-46.621097931090766,SP,4.36
Sub-bloco 020,-23.588188237537537,-46.61700310812102,SP,4.5
Sub-bloco 021,-23.588188237537537,-46.61290828515127,SP,4.67
Sub-bloco 022,-23.588188237537537,-46.60881346218153,SP,4.87
Sub-bloco 023,-23.584434483783784,-46.66204616078822,SP,4.76
Sub-bloco 024,-23.584434483783784,-46.657951337818474,SP,4.51
Sub-bloco 025,-23.584434483783784,-46.653856514848734,SP,4.3
Sub-bloco 026,-23.584434483783784,-46.649761691878986,SP,4.11
Sub-bloco 027,-23.584434483783784,-46.64566686890924,SP,3.96
Sub-bloco 028,-23.584434483783784,-46.6415720459395,SP,3.85
Sub-bloco 029,-23.584434483783784,-46.63747722296975,SP,3.78
Sub-bloco 030,-23.584434483783784,-46.6333824,SP,3.76
Sub-bloco 031,-23.584434483783784,-46.629287577030254,SP,3.78
Sub-bloco 032,-23.584434483783784,-46.62519275406051,SP,3.85
Sub-bloco 033,-23.584434483783784,-46.621097931090766,SP,3.96
Sub-bloco 034,-23.584434483783784,-46.61700310812102,SP,4.11
Sub-bloco 035,-23.584434483783784,-46.61290828515127,SP,4.3
Sub-bloco 036,-23.584434483783784,-46.60881346218153,SP,4.51
Sub-bloco 037,-23.584434483783784,-46.60471863921178,SP,4.76
Sub-bloco 038,-23.58068073003003,-46.66614098375797,SP,4.72
Sub-bloco 039,-23.58068073003003,-46.66204616078822,SP,4.44
Sub-bloco 040,-23.58068073003003,-46.657951337818474,SP,4.17
Sub-bloco 041,-23.58068073003003,-46.653856514848734,SP,3.94
Sub-bloco 042,-23.58068073003003,-46.649761691878986,SP,3.73
Sub-bloco 043,-23.58068073003003,-46.64566686890924,SP,3.57
Sub-bloco 044,-23.58068073003003,-46.6415720459395,SP,3.44
Sub-bloco 045,-23.58068073003003,-46.63747722296975,SP,3.37
Sub-bloco 046,-23.58068073003003,-46.6333824,SP,3.34
Sub-bloco 047,-23.58068073003003,-46.629287577030254,SP,3.37
Sub-bloco 048,-23.58068073003003,-46.62519275406051,SP,3.44
Sub-bloco 049,-23.58068073003003,-46.621097931090766,SP,3.57
Sub-bloco 050,-23.58068073003003,-46.61700310812102,SP,3.73
Sub-bloco 051,-23.58068073003003,-46.61290828515127,SP,3.94
Sub-bloco 052,-23.58068073003003,-46.60881346218153,SP,4.17
Sub-bloco 053,-23.58068073003003,-46.60471863921178,SP,4.44
Sub-bloco 054,-23.58068073003003,-46.600623816242035,SP,4.72
Sub-bloco 055,-23.576926976276276,-46.67023580672772,SP,4.76
Sub-bloco 056,-23.576926976276276,-46.66614098375797,SP,4.44
Sub-bloco 057,-23.576926976276276,-46.66204616078822,SP,4.13
Sub-bloco 058,-23.576926976276276,-46.657951337818474,SP,3.85
Sub-bloco 059,-23.576926976276276,-46.653856514848734,SP,3.59
Sub-bloco 060,-23.576926976276276,-46.649761691878986,SP,3.37
